Rotation Data (1D Kymograph Signal [radians vs time]),
1mM/1mM_leu1m_1.tif,
20170413 17:11:32.860,
,
time (ms),cell0,
18715.0,238.341819768
18732.0,265.067941962
18748.0,291.475881559
18765.0,309.777228288
18782.0,303.301228497
18799.0,296.529573123
18816.0,286.312360631
18833.0,288.218928943
18850.0,308.252773443
18867.0,310.407603436
18884.0,309.86814001
18901.0,312.009987674
18918.0,310.534448142
18935.0,309.656600856
18952.0,256.574574864
18968.0,261.361181772
18985.0,124.915845246
19002.0,135.908077901
19019.0,308.168556097
19036.0,304.971203199
19053.0,286.732471057
19070.0,229.636918815
19087.0,308.984397088
19104.0,306.369115798
19121.0,311.423949686
19138.0,309.844689826
19155.0,305.185308247
19172.0,259.940554074
19188.0,208.272993962
19205.0,124.827649819
19222.0,234.91704124
19239.0,309.638320325
19256.0,301.773589473
19273.0,190.650383259
19290.0,307.239379825
19307.0,309.901161804
19324.0,309.969708001
19341.0,310.4748493
19358.0,306.066153196
19375.0,234.697833154
19391.0,139.622449818
19408.0,184.236935835
19425.0,287.8111556
19442.0,269.220469017
19459.0,121.529108459
19476.0,309.207612055
19493.0,311.709478552
19510.0,309.637279616
19527.0,301.439917177
19544.0,233.299534615
19561.0,131.635501362
19578.0,269.340105803
19595.0,304.575602482
19611.0,207.258033899
19628.0,301.181650503
19645.0,309.736967352
19662.0,311.092580855
19679.0,294.374616062
19696.0,243.04768373
19713.0,101.385368942
19730.0,218.616461636
19747.0,281.069528338
19764.0,308.486462711
19781.0,307.860315254
19798.0,290.262199199
19815.0,284.787711917
19831.0,284.639572956
19848.0,310.498993566
19865.0,311.217535199
19882.0,309.591345958
19899.0,260.244722932
19916.0,239.052948583
19933.0,277.418913705
19950.0,306.576527095
19967.0,214.020980649
19984.0,180.932443446
20001.0,311.109127079
20018.0,310.929580536
20035.0,311.972856381
20051.0,310.426052008
20068.0,296.013009507
20085.0,280.573078895
20102.0,161.28767788
20119.0,293.182102803
20136.0,297.612214442
20153.0,295.697274202
20170.0,270.942583462
20187.0,276.048339235
20204.0,283.909560854
20221.0,310.47593019
20238.0,311.811836388
20254.0,310.991899414
20271.0,308.872313697
20288.0,281.130775008
20305.0,293.354510918
20322.0,224.308112754
20339.0,294.620299786
20356.0,306.892835417
20373.0,286.175458666
20390.0,274.277245723
20407.0,308.423500064
20424.0,310.98297682
20441.0,311.435539735
20458.0,310.492473891
20474.0,284.788673073
20491.0,246.087900117
20508.0,191.063157463
20525.0,277.033407703
20542.0,245.41713925
20559.0,291.753592523
20576.0,308.518998159
20593.0,301.936775307
20610.0,234.541480023
20627.0,306.868771007
20644.0,310.502552181
20661.0,306.782239314
20678.0,66.7724135496
20694.0,231.741876233
20711.0,304.367681326
20728.0,309.736164842
20745.0,235.744086483
20762.0,276.801036644
20779.0,309.267527925
20796.0,306.449021686
20813.0,66.4383347244
20830.0,226.700171545
20847.0,293.950397461
20864.0,309.347237354
20881.0,308.606388909
20898.0,232.067261977
20914.0,307.123242606
20931.0,310.09855589
20948.0,309.66312176
20965.0,220.642933389
20982.0,256.387115329
20999.0,308.807984558
21016.0,309.938521107
21033.0,229.170238177
21050.0,303.841462743
